url,tittel
"/arbeid-og-lonn/artikler-og-publikasjoner/arbeids-og-bedriftsundersokelsen-2012",Arbeids- og bedriftsundersøkelsen 2012
"/nasjonalregnskap-og-konjunkturer/artikler-og-publikasjoner/to-ruvende-skikkelser-i-norsk-statistikk",To ruvende skikkelser i norsk statistikk
"/offentlig-sektor/artikler-og-publikasjoner/på-jakt-etter-felles-indikatorer-for-velferd",På jakt etter felles indikatorer for velferd
"/offentlig-sektor/artikler-og-publikasjoner/er-det-arbeid-til-alle-i-norden",Er det arbeid til alle i Norden?
"/befolkning/artikler-og-publikasjoner/fortsatt-store-forskjeller-i-levealder-i-oslo",Fortsatt store forskjeller i levealder i Oslo
"/offentlig-sektor/artikler-og-publikasjoner/mange-har-god-helse-faerrest-i-finland","Mange har god helse, færrest i Finland"
"/sosiale-forhold-og-kriminalitet/artikler-og-publikasjoner/sosialhjelp-og-arbeid-best-utsikter-for-unge",Sosialhjelp og arbeid – best utsikter for unge
"/en/forskning/discussion-papers/prices-vs.quantities-with-endogenous-cost-structure",Prices vs. quantities with endogenous cost structure
"/en/arbeid-og-lonn/artikler-og-publikasjoner/the-demand-for-labour-by-education",The demand for labour by education
"/utdanning/utdanningsniva/statistikk/leseferdigheter-og-tallforstaelse",Leseferdigheter og tallforståelse
"/en/utdanning/utdanningsniva/statistikk/leseferdigheter-og-tallforstaelse",Survey of adult skills
"/forskning/offentlig-okonomi/arbeidsmarked/okte-lonninger-gir-lavere-sysselsetting-blant-lavt-utdannet-arbeidskraft",Økte lønninger gir lavere sysselsetting blant lavt utdannet arbeidskraft
"/en/forskning/discussion-papers/self-reinforcing-effects-between-housing-prices-and-credit-an-extended-version",Self-reinforcing effects between housing prices and credit: an extended version
"/helse/artikler-og-publikasjoner/pleie-og-omsorgstjenesten-2012",Pleie- og omsorgstjenesten 2012
"/priser-og-prisindekser/artikler-og-publikasjoner/kjopekraftspariteter-prisnivaaindekser-og-prisnivaajustering","Kjøpekraftspariteter, prisnivåindekser og prisnivåjustering"
"/en/omssb/om-oss/vaar-virksomhet/planer-og-meldinger/institutional-development-cooperation-in-statistics-norway",Institutional Development Cooperation in Statistics Norway
"/en/forskning/discussion-papers/does-parenthood-imply-less-specialization-than-before",Does parenthood imply less specialization than before?
"/kultur-og-fritid/artikler-og-publikasjoner/kvinners-og-menns-tidsbruk-i-ulike-livsfaser-og-familietyper",Kvinners og menns tidsbruk i ulike livsfaser og familietyper
"/kultur-og-fritid/artikler-og-publikasjoner/yrkes-og-familiearbeid-i-barnefasen",Yrkes- og familiearbeid i barnefasen
"/en/forskning/discussion-papers/asset-market-participation-and-portfolio-choice-over-the-life-cycle",Asset market participation and portfolio choice over the life-cycle
"/forskning/discussion-papers/asset-market-participation-and-portfolio-choice-over-the-life-cycle--143578",Asset market participation and portfolio choice over the life-cycle
"/innrapportering/naeringsliv/avfhandel?fane=veiledning",Avfall fra tjenesteytende næringer -
"/en/forskning/discussion-papers/gender-equality-in-the-family-and-childbearing",Gender equality in the family and childbearing
"/en/nasjonalregnskap-og-konjunkturer/artikler-og-publikasjoner/msg-tech-analysis-and-documentation-of-a-general-equilibrium-model-with-endogenous-climate-technology-adaptations",MSG-TECH: Analysis and documentation of a general equilibrium model with endogenous climate technology adaptations
"/forskning/makrookonomi/makrookonomiske-analyser/framskrivninger-for-tilbud-og-ettersporsel-etter-arbeidskraft-med-ulike-utdanninger",Framskrivninger for tilbud og etterspørsel etter arbeidskraft med ulike utdanninger
"/arbeid-og-lonn/artikler-og-publikasjoner/forecasting-demand-and-supply-of-labour-by-education",Forecasting demand and supply of labour by education
"/en/arbeid-og-lonn/artikler-og-publikasjoner/forecasting-demand-and-supply-of-labour-by-education",Forecasting demand and supply of labour by education
"/forskning/mikrookonomi/arbeidsmarked/tjener-på-at-de-ansatte-er-sosiale",Tjener på at de ansatte er sosiale
"/en/forskning/discussion-papers/becoming-we-instead-of-i",Becoming “We” instead of “I”
"/omssb/om-oss/organisasjonskart/metodeutvikling-og-datainnsamling/arvid-olav-lyso",Arvid Olav Lysø
"/en/omssb/om-oss/organisasjonskart/metodeutvikling-og-datainnsamling/arvid-olav-lyso",Arvid Olav Lysø
"/en/forskning/discussion-papers/u.s.versus-sweden",U.S. versus Sweden
"/innrapportering/personer-og-husholdning/AKU?fane=sporsmal",Arbeidskraftundersøkelsen -
"/innrapportering/naeringsliv/elektrisitetspriser-kvartalsvis?fane=sporsmal",Elektrisitetspriser -
"/innrapportering/naeringsliv/energibruk-i-industrien?fane=sporsmal",Energibruk i industrien -
"/en/forskning/discussion-papers/the-ins-and-outs-of-top-income-mobility",The ins and outs of top income mobility
"/offentlig-sektor/artikler-og-publikasjoner/holdning-til-bistand-2013",Holdning til bistand 2013
"/befolkning/artikler-og-publikasjoner/undersokelsen-om-samvaer-og-bosted-2012",Undersøkelsen om Samvær og bosted 2012
"/en/forskning/discussion-papers/a-theory-for-ranking-distribution-functions",A theory for ranking distribution functions
"/forskning/discussion-papers/a-theory-for-ranking-distribution-functions--147155",A theory for ranking distribution functions
"/forskning/discussion-papers/are-closely-held-firms-tax-shelters--148076",Are closely-held firms tax shelters?
"/forskning/mikrookonomi/skatt/fungerer-aksjeselskaper-som-skattely",Fungerer aksjeselskaper som skattely?
"/en/forskning/discussion-papers/are-closely-held-firms-tax-shelters",Are closely-held firms tax shelters?
"/en/forskning/discussion-papers/distributional-benchmarking-in-tax-policy-evaluations",Distributional benchmarking in tax policy evaluations
"/energi-og-industri/artikler-og-publikasjoner/okt-industriproduksjon-med-mindre-energi",Økt industriproduksjon med mindre energi
"/arbeid-og-lonn/artikler-og-publikasjoner/funksjonshemma-paa-arbeidsmarknaden-i-2013",Funksjonshemma på arbeidsmarknaden i 2013
"/innrapportering/naeringsliv/jordbruksavling?fane=sporsmal",Potet- og grovfôravlinger -
"/en/forskning/discussion-papers/pro-cyclical-mortality",Pro-cyclical mortality
